bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publisher_country,country,latitude,longitude,coordinates,first_published,book_format,edition_avgRating,added_toShelves,first_author,num_contributors,size_of_publisher,size_of_author,book_count,is_serie,has_edition,book_age,category,genre_category,description,standardized_genres
16,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1,douglas adams/stephen fry,4.22,0739322206,9780739322208,eng,6,1266,253,3/23/2005,random house audio,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","october 12, 1979",audio cd,4.03,1988.0,douglas adams,2,3,2,4,1,1,0,audio,juvenile fiction,"Don't leave Earth without this hilarious international bestseller about the end of the world and the happy-go-lucky days that follow. Join the gruesome two-some of Arthur Dent and his friend, Ford Prefect, in their now-famous intergalactic journey through time and space.","Children, Fiction"
18,the ultimate hitchhikers guide hitchhikers guide to the galaxy 15,douglas adams,4.38,0517149257,9780517149256,eng,815,2877,195,1/17/1996,wings,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","january 17, 1996",hardcover,4.49,5658.0,douglas adams,1,2,2,1,1,1,1,hardcover,"dent, arthur (fictitious character)","""The Hitchhiker's Guide to the Galaxy"" Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space. ""The Restaurant at the End of the Universe"" Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat. ""Life, the Universe and Everything"" The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew. ""So Long, and Thanks for All the Fish"" Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak. ""Mostly Harmless"" Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself? Also includes the short story ""Young Zaphod Plays It Safe"".","Fiction, Children"
21,a short history of nearly everything,bill bryson,4.21,076790818x,9780767908184,eng,544,248558,9396,9/14/2004,crown,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 1, 2003",paperback,4.21,886638.0,bill bryson,1,3,2,2,0,1,1,paperback,history,"Bill Bryson describes himself as a reluctant traveller, but even when he stays safely at home he can't contain his curiosity about the world around him. ""A Short History of Nearly Everything"" is his quest to understand everything that has happened from the Big Bang to the rise of civilisation - how we got from there, being nothing at all, to here, being us. The ultimate eye-opening journey through time and space, revealing the world in a way most of us have never seen it before.",History
22,bill brysons african diary,bill bryson,3.44,0767915062,9780767915069,eng,55,7270,499,12/3/2002,crown,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","january 1, 2002",hardcover,3.43,24990.0,bill bryson,1,3,2,2,0,1,1,hardcover,travel,"In the early fall of 2002, famed travel Writer Bill Bryson journeyed to Kenya at the invitation of CARE International, the charity dedicated to working with local communities to eradicate poverty around the world. He arrived with a set of mental images of Africa gleaned from television broadcasts of low-budget Jungle Jim movies in his Iowa childhood and a single viewing of the film version of Out of Africa. (Also with some worries about tropical diseases, insects and large predators.) But the vibrant reality of Kenya and its people took over the second he deplaned in Nairobi, and this diary records Bill Bryson's impresssions of his trip with his inimitable trademark style of wry observation and curious insight. From the wrenching poverty of the Kibera slum in Nairobi to the meticulously manicured grounds of the Karen Blixen house and the human fossil riches of the National Museum, Bryson registers the striking contrasts of a postcolonial society in transition. He visits the astoundingly vast Great Rift Valley; undergoes the rigors of a teeth-rattling train journey to Mombasa and a hair-whitening flight through a vicious storm; and visits the refugee camps and the agricultural and economic projects where dedicated CARE professionals wage noble and dogged war against poverty, dislocation and corruption.",Travel
23,brysons dictionary of troublesome words a writers guide to getting it right,bill bryson,3.87,0767910435,9780767910439,eng,256,2088,131,9/14/2004,crown,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","january 1, 1984",paperback,3.89,8236.0,bill bryson,1,3,2,1,0,0,0,paperback,language arts & disciplines,"A revised and updated edition of a humorous primer on the English language, expanded for an American audience, contains entries on correct and questionable usage, a glossary, and a pronunciation guide.","Arts & Design, Education"
24,in a sunburned country,bill bryson,4.07,0767903862,9780767903868,eng,335,72451,4245,5/15/2001,broadway,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 1, 2000",paperback,4.06,167445.0,bill bryson,1,2,2,1,0,1,1,paperback,biography & autobiography,"It is the driest, flattest, hottest, most infertile and climatically aggressive of all the inhabited continents, and still Australia teems with life - a large portion of it quite deadly. In fact, Australia has more things that can kill you in a very nasty way than anywhere else. Ignoring such dangers - and yet curiously obsessed by them - Bill Bryson journeyed to Australia and promptly fell in love with the country. And who can blame him? The people are cheerful, extroverted, quick-witted and unfailingly obliging: their cities are safe and clean and nearly always built on water; the food is excellent; the beer is cold and the sun nearly always shines. Life doesn't get much better than this...","Biography, Autobiography"
25,im a stranger here myself notes on returning to america after twenty years away,bill bryson,3.9,076790382x,9780767903820,eng,304,49240,2211,6/28/2000,broadway,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","january 1, 1998",paperback,3.89,103237.0,bill bryson,1,2,2,1,0,0,1,paperback,biography & autobiography,"After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens--as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item. Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away.","Biography, Autobiography"
26,the lost continent travels in small town america,bill bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,8/28/1990,william morrow,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","august 1, 1989",paperback,3.82,107476.0,bill bryson,1,3,2,1,0,1,0,paperback,travel,"'I come from Des Moines. Somebody had to' And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England, he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of trim and sunny place where the films of his youth were set. Instead, his search led him to Anywhere, USA; a lookalike strip of gas stations, motels and hamburger outlets populated by lookalike people with a penchant for synthetic fibres. Travelling around thirty-eight of the lower states - united only in their mind-numbingly dreary uniformity - he discovered a continent that was doubly lost; lost to itself because blighted by greed, pollution, mobile homes and television; lost to him because he had become a stranger in his own land. The Lost Continent is a classic of travel literature - hilariously, stomach-achingly funny, yet tinged with heartache - and the book that first staked Bill Bryson's claim as the most beloved writer of his generation.",Travel
27,neither here nor there travels in europe,bill bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,3/28/1993,william morrow,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 1, 1991",paperback,3.87,136924.0,bill bryson,1,3,2,1,0,0,1,paperback,travel,"Bill Bryson's first travel book, The Lost Continent, was unanimously acclaimed as one of the funniest books in years. In Neither Here nor There he brings his unique brand of humour to bear on Europe as he shoulders his backpack, keeps a tight hold on his wallet, and journeys from Hammerfest, the northernmost town on the continent, to Istanbul on the cusp of Asia. Fluent in, oh, at least one language, he retraces his travels as a student twenty years before. Whether braving the homicidal motorist of Paris, being robbed by gypsies in Florence, attempting not to order tripe and eyeballs in a German restaurant, window-shopping in the sex shops of the Reeperbahn or disputing his hotel bill in Copenhagen, Bryson takes in the sights, dissects the culture and illuminates each place and person with his hilariously caustic observations. He even goes to Liechtenstein.",Travel
28,notes from a small island,bill bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,5/28/1997,william morrow,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","january 1, 1995",paperback,3.92,180152.0,bill bryson,1,3,2,1,0,0,1,paperback,travel,"""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson - bestselling author of The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile.",Travel
29,the mother tongue english and how it got that way,bill bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,9/28/1991,william morrow,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 1, 1990",paperback,3.92,82042.0,bill bryson,1,3,2,1,0,0,1,paperback,language arts & disciplines,"Only Bill Bryson could make a book about the English language so entertaining. With his boundless enthusiasm and restless eye for the absurd, this is his astonishing tour of English. From its mongrel origins to its status as the world's most-spoken tongue; its apparent simplicity to its deceptive complexity; its vibrant swearing to its uncertain spelling and pronunciation; Bryson covers all this as well as the many curious eccentricities that make it as maddening to learn as it is flexible to use. Bill Bryson's classic Mother Tongue is a highly readable and hilarious tale of how English came to be the world's language.","Arts & Design, Education"
30,jrr tolkien 4book boxed set the hobbit and the lord of the rings,j.r.r. tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,9/25/2012,ballantine,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 1, 1954",mass market paperback,4.6,236899.0,jrr tolkien,1,3,3,1,0,1,0,paperback,fiction,"These magical adaptations became instant classics when they were first broadcast on BBC Radio 4, and continue to delight today. Tolkien's epic tale of Middle-earth has all the classic ingredients of fantasy and adventure: dwarves, elves, goblins and trolls, a terrifying dragon, a great wizard, a fearsome evil, a perilous quest and a dramatic climax. With an all-star cast including Ian Holm, Michael Hordern, Robert Stephens, John le Mesurier and Bill Nighy, these enchanting dramatisations are a must for all Tolkien fans. 'For those who find the books too long-winded and the films too noisy, this is the perfect way to assimilate the myth and magic of Middle-earth' - Guardian. 19 CDs. 17 hrs 30 mins.",Fiction
31,the lord of the rings the lord of the rings 13,j.r.r. tolkien,4.5,0618517650,9780618517657,eng,1184,1710,91,10/21/2004,houghton mifflin harcourt,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 1, 1954",hardcover,4.72,2627.0,jrr tolkien,1,3,3,4,1,1,0,hardcover,fiction,"The Fellowship of the Ring, part one of J.R.R. Tolkien’s epic masterpiece, first reached these shores on October 21, 1954, arriving, as C. S. Lewis proclaimed, “like lightning from a clear sky.” Fifty years and nearly one hundred million American readers later comes a beautiful new one-volume collector’s edition befitting the stature of this crown jewel of our list. With a text fully corrected under the supervision of Christopher Tolkien to meet the author’s exacting wishes, two large-format fold-out maps, a ribbon placemarker, gilded page edges, a color insert depicting Tolkien's own paintings of the Book of Mazarbul and exceptionally elegant and sturdy overall packaging housed within an attractive slipcase, this edition is the finest we’ve ever produced.",Fiction
34,the fellowship of the ring the lord of the rings 1,j.r.r. tolkien,4.36,0618346252,9780618346257,eng,398,2128944,13670,9/5/2003,houghton mifflin harcourt,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","july 29, 1954",paperback,4.36,2837986.0,jrr tolkien,1,3,3,2,1,1,0,paperback,"fantasy fiction, english","Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover) One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind them In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose. --back cover","Fiction, Fantasy"
35,the lord of the rings the lord of the rings 13,j.r.r. tolkien/alan  lee,4.5,0618260587,9780618260584,en-us,1216,1618,140,10/1/2002,houghton mifflin harcourt,united states,us,37.09024,-95.712891,"(37.09024, -95.712891)","january 1, 1954",hardcover,4.6,2941.0,jrr tolkien,2,3,3,4,1,1,0,hardcover,fiction,"Celebrated Tolkien illustrator Alan Lee, a conceptual designer for the blockbuster films based on ""The Lord of the Rings"", contributes 50 beautiful full-page, full-color paintings to this elegant three-volume edition. One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them. In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell, by chance, into the hands of the hobbit, Bilbo Baggins. From his fastness in the Dark Tower of Mordor, Sauron's power spread far and wide. He gathered all the Great Rings to him, but ever he searched far and wide for the One Ring that would complete his dominion. On his eleventy-first birthday Bilbo disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest -- to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom. The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard, Merry, Pippin, and Sam, Gimli the Dwarf, Legolas the Elf, Boromir of Gondor, and a tall, mysterious stranger called Strider. Saga of a group heroes who set forth to save their world from evil. A brotherhood of hobbits, elves, dwarves, and people is formed to combat evil forces. Tolkien drew on his extensive knowledge of folklore and the classics to create the worlds and creatures described in the trilogy, which includes The Fellowship of the Ring, The Two Towers, and The Return of the King.",Fiction
36,the lord of the rings weapons and warfare,chris   smith/christopher  lee/richard taylor,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,houghton mifflin harcourt,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","september 1, 2003",paperback,4.58,113414.0,chris smith,3,3,1,1,0,0,1,paperback,literary criticism,"Lavishly illustrated with 1,000 photos, paintings, maps, sculptures and sketches, most appearing here for the first time, Weapons and Warfare is an indispensable chronicle of The Lord of the Rings' many creatures, warriors, armies and battlegrounds. From the graceful and proficient Elves to the horrendous war machines of the Dark Lord, each culture's approach to warfare is explained - how they fought, why they were fighting, what armor they wore and what weapons they used against their enemies. Now you can get as close to a marauding Orc as you could ever wish, without suffering the consequences! Treating the filmmakers' notes, designs and props as a true archive, Weapons and Warfare describes in detail every major conflict depicted in the film trilogy - from The Last Alliance of Elves and Men to the climactic Battle of the Pelennor Fields - each accompanied by a battle diagram from the films' chief designers.","Arts & Design, Criticism"
37,the lord of the rings complete visual companion,jude fisher,4.5,0618510826,9780618510825,eng,224,359,6,11/15/2004,houghton mifflin harcourt,united kingdom,gb,55.378051,-3.435973,"(55.378051, -3.435973)","january 1, 2004",paperback,4.51,624.0,jude fisher,1,3,1,1,0,0,1,paperback,performing arts,"The official, fully authorized full-color guide to the characters, places, and landscapes of J.R.R. Tolkien's Middle-earth as depicted in The Lord of the Rings movie trilogy. Fully illustrated with almost 300 color photographs, including stunning new images from the extended director's versions of The Fellowship of the Ring and The Two Towers, and exclusive ""first-look"" shots from The Return of the King, this Complete Visual Companion now tells the whole tale of The Lord of the Rings in sumptuous detail. The many characters, creatures, and strange lands of Middle-earth encountered by the Fellowship of the Ring in their epic journey are here brought to life: from the magical Elven realms of Rivendell and Lothlorien to the abandoned Dwarven kingdom of Moria; from the wizard Saruman's stronghold at Isengard to the land of the Horse-lords, Rohan; from their last-ditch fortress at Helm's Deep to Minas Tirith, the city-kingdom of the proud Men of Gondor; from the haunted Paths of the Dead to the battlefields of Pelennor and the overrun city of Osgiliath; from Cirith Ungol and the Nazgul's tower of sorcery at Minas Morgul into the very heart of Mordor. Along the way our heroes will encounter Elves and Ents, Uruk-hai and Orcs, Trolls, and Haradrim on their towering war-elephants, the mumakil. The Companion introduces readers to the monstrous Shelob the spider, to the Corsairs of Umbar, and to that pitiful but deadly creature Gollum. This omnibus edition also includes brand-new sections appearing in print for the first time, which take the story of the quest of the Fellowship beyond Mount Doom, all the way to the hearbreaking finale at the Grey Havens.","Arts & Design, Performing Arts"
